City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,barra de santo antonio,-9.4047,-35.5072,70.88,85,100,9.22,BR,1687842712
158,avarua,-21.2078,-159.775,75.25,94,75,3.44,CK,1687842713
159,kokkola,63.8385,23.1307,63.03,89,99,2.3,FI,1687842713
160,white city,42.4374,-122.8589,71.58,47,0,4.61,US,1687842713
161,vernon,50.2581,-119.2691,74.73,46,25,1.14,CA,1687842714
162,vorgashor,67.5833,63.95,51.44,67,100,6.67,RU,1687842714
163,bardai,11.65,7.2333,73.04,81,61,6.85,NG,1687842714
164,alofi,-19.0595,-169.9187,76.12,74,29,6.62,NU,1687842714
165,igrim,63.1906,64.4162,66.15,50,89,3.94,RU,1687842715
166,flying fish cove,-10.4217,105.6791,78.48,78,100,12.66,CX,1687842715
167,vila franca do campo,37.7167,-25.4333,68.41,92,55,8.52,PT,1687842715
168,ouricuri,-7.8825,-40.0817,68.0,81,63,5.77,BR,1687842715
169,lebu,-37.6167,-73.65,50.25,90,77,8.77,CL,1687842716
170,vila velha,-20.3297,-40.2925,65.95,95,0,0.0,BR,1687842716
171,jayapura,-2.5333,140.7,90.79,65,77,5.03,ID,1687842716
172,kazan,55.7887,49.1221,68.61,53,9,4.81,RU,1687842716
173,kourou,5.1552,-52.6478,75.25,93,51,6.24,GF,1687842177
174,kapit,2.0167,112.9333,93.47,48,50,1.59,MY,1687842717
175,canacona,14.9959,74.0506,80.13,77,100,5.7,IN,1687842717
176,sungai penuh,-2.0833,101.3833,73.0,84,89,3.38,ID,1687842717
177,salaya,22.3167,69.6,85.15,73,100,13.02,IN,1687842718
178,horta,38.5333,-28.6333,66.02,88,4,5.99,PT,1687842718
179,farasan,16.7022,42.1183,87.66,76,16,0.72,SA,1687842718
180,buala,-8.145,159.5921,81.81,68,73,11.23,SB,1687842718
181,utrik,11.2278,169.8474,82.83,81,23,17.85,MH,1687842719
182,howrah,22.5892,88.3103,80.6,94,100,8.05,IN,1687842532
183,ancud,-41.8697,-73.8203,46.62,87,100,8.81,CL,1687842719
184,la passe,45.5549,-0.8967,59.99,79,88,4.97,FR,1687842719
185,sitka,57.0531,-135.33,55.29,94,100,16.11,US,1687842719
186,gao,16.6362,1.637,86.41,50,66,7.65,ML,1687842720
187,dizangue,3.7667,9.9833,72.27,98,93,1.52,CM,1687842720
188,bilibino,68.0546,166.4372,59.59,42,25,19.28,RU,1687842720
189,papao,-17.75,-149.55,80.28,78,0,16.87,PF,1687842720
190,olonkinbyen,70.9221,-8.7187,42.24,91,12,12.3,SJ,1687842721
191,kulhudhuffushi,6.6221,73.07,79.21,80,100,12.95,MV,1687842721
192,hillsborough,37.5741,-122.3794,57.94,89,100,12.66,US,1687842721
193,ulladulla,-35.35,150.4667,62.46,41,57,2.3,AU,1687842722
194,weno,7.4515,151.8468,85.95,79,100,5.75,FM,1687842722
195,chimbote,-9.0853,-78.5783,69.39,82,90,8.05,PE,1687842722
196,sittwe,20.15,92.9,82.18,78,100,9.13,MM,1687842722
197,aykhal,66.0,111.5,67.71,29,82,15.3,RU,1687842723
198,kavaratti,10.5669,72.642,79.59,83,100,17.49,IN,1687842723
199,iskateley,67.6803,53.1512,48.97,88,100,5.46,RU,1687842723
200,roma,43.2128,-75.4557,68.5,93,75,13.8,US,1687842724
201,wasco,35.5941,-119.341,75.42,29,0,4.61,US,1687842724
202,kurchatov,51.6601,35.6521,57.61,98,100,6.31,RU,1687842724
203,porto torres,40.835,8.3972,68.18,86,6,8.7,IT,1687842724
204,point pedro,9.8167,80.2333,85.24,72,100,18.63,LK,1687842725
205,ciudad lazaro cardenas,17.9583,-102.2,82.4,83,98,8.1,MX,1687842459
206,constantia,44.1833,28.65,73.71,59,0,10.38,RO,1687842629
207,karkira,36.9292,6.5856,71.49,68,0,2.39,DZ,1687842725
208,tura,25.5198,90.2201,81.27,79,97,7.0,IN,1687842726
209,mul,20.0667,79.6667,75.81,94,100,10.16,IN,1687842726
210,maraba,-5.3686,-49.1178,73.58,88,0,0.0,BR,1687842726
211,coalinga,36.1397,-120.3602,70.05,44,0,6.53,US,1687842726
212,akureyri,65.6835,-18.0878,44.53,81,0,4.61,IS,1687842727
213,alice springs,-23.7,133.8833,60.35,63,100,5.75,AU,1687842727
214,karratha,-20.7377,116.8463,73.94,28,1,12.53,AU,1687842727
215,belev,53.8119,36.1319,57.18,91,100,9.71,RU,1687842727
216,conde,-7.2597,-34.9075,72.86,100,100,3.44,BR,1687842727
217,praia da vitoria,38.7333,-27.0667,68.25,94,75,8.12,PT,1687842728
218,san patricio,28.017,-97.5169,84.06,79,0,13.89,US,1687842728
219,altai,46.3722,96.2583,56.05,34,38,10.18,MN,1687842728
220,netivot,31.4222,34.5886,74.61,64,0,4.65,IL,1687842728
221,nyala,12.05,24.8833,80.28,63,80,13.65,SD,1687842639
222,siddhapur,23.9167,72.3833,89.38,60,94,7.92,IN,1687842651
223,kamyzyak,46.11,48.0736,77.02,38,0,11.18,RU,1687842729
224,tomatlan,19.9333,-105.25,80.17,83,80,0.92,MX,1687842729
225,mukalla,14.5425,49.1242,91.76,52,68,1.45,YE,1687842730
226,krasnokholm,51.5979,54.1567,64.54,48,1,12.73,RU,1687842730
227,mae chai,19.346,99.814,83.8,75,93,2.55,TH,1687842730
228,chonchi,-42.6128,-73.8092,44.11,96,100,3.31,CL,1687842730
229,wanning,18.8003,110.3967,88.7,64,87,8.52,CN,1687842731
230,williamsburg,37.2707,-76.7075,75.74,83,75,14.97,US,1687842538
231,adigrat,14.277,39.462,65.44,47,24,3.83,ET,1687842731
232,al khums,32.6486,14.2619,73.31,85,0,5.95,LY,1687842731
233,pacific grove,36.6177,-121.9166,57.22,87,100,8.05,US,1687842631
234,tsiombe,-25.3,45.4833,66.52,78,61,4.05,MG,1687842191
235,walvis bay,-22.9575,14.5053,55.09,76,100,5.61,NA,1687842732
236,sarh,9.1429,18.3923,71.89,95,100,4.92,TD,1687842732
237,fort bragg,35.139,-79.006,69.94,95,100,14.97,US,1687842732
238,nesebar,42.7833,27.7333,74.28,53,0,7.27,BG,1687842733
239,vanatori-neamt,47.2,26.3167,67.98,65,3,4.05,RO,1687842733
240,wagoner,35.9595,-95.3694,78.46,80,0,6.58,US,1687842520
241,brisas de zicatela,15.8369,-97.0419,80.33,84,74,2.66,MX,1687842733
242,mana,5.6592,-53.7767,75.54,92,29,7.4,GF,1687842734
243,fiambala,-27.6871,-67.6149,62.51,14,0,4.23,AR,1687842734
244,khorixas,-20.3667,14.9667,43.0,84,82,7.0,NA,1687842734
245,griffith,41.5284,-87.4237,68.07,84,100,0.0,US,1687842734
246,namibe,-15.1961,12.1522,58.26,80,0,6.22,AO,1687842735
247,fort abbas,29.1925,72.8536,91.89,50,95,5.03,PK,1687842735
248,touros,-5.1989,-35.4608,74.59,87,69,7.18,BR,1687842488
249,chui,-33.6971,-53.4616,57.9,94,100,4.83,UY,1687842735
250,shakawe,-18.3667,21.85,50.81,57,0,5.21,BW,1687842736
251,nsanje,-16.92,35.262,60.03,80,1,1.01,MW,1687842736
252,cozumel,20.5083,-86.9458,76.95,93,5,7.96,MX,1687842718
253,tazovsky,67.4667,78.7,51.66,62,100,6.82,RU,1687842737
254,westerland,54.9079,8.3033,62.02,77,20,17.27,DE,1687842737
255,pisco,-13.7,-76.2167,61.02,88,75,4.61,PE,1687842162
